44Guangdong,000000000000019,441200000000012,粤闽主线收费站,广东,潮州
44Guangdong,000000000000003,441200000000051,粤北收费站,广东,韶关
44Guangdong,000000000000021,441200000000064,粤西收费站,广东,湛江
44Guangdong,000000000000031,441200000000072,凤头岭收费站,广东,清远
44Guangdong,000000000000005,441200000000073,粤赣收费站,广东,河源
44Guangdong,000000000000025,441200000000074,梅关主线收费站,广东,韶关
44Guangdong,000000000000011,441200000000078,广福主线收费站,广东,梅州
44Guangdong,000000000000011,441200000000085,平台收费站,广东,云浮
44Guangdong,000000000000021,441200000000085,榃滨主线收费站,广东,云浮
44Guangdong,000000000000003,441200000000090,朱岗收费站,广东,清远
44Guangdong,000000000000029,441200000000090,岗坪收费站,广东,肇庆
44Guangdong,000000000000015,441200000000114,茶阳省界收费站,广东,梅州
44Guangdong,000000000000003,441200000000001,火村北收费站,广东,广州
44Guangdong,000000000000004,441200000000001,火村南收费站,广东,广州
44Guangdong,000000000000005,441200000000001,萝岗北收费站,广东,广州
44Guangdong,000000000000006,441200000000001,萝岗南收费站,广东,广州
44Guangdong,000000000000007,441200000000001,新塘北收费站,广东,广州
44Guangdong,000000000000008,441200000000001,新塘南收费站,广东,广州
44Guangdong,000000000000009,441200000000001,麻涌北收费站,广东,东莞
44Guangdong,000000000000010,441200000000001,麻涌南收费站,广东,东莞
44Guangdong,000000000000011,441200000000001,望牛墩北收费站,广东,东莞
44Guangdong,000000000000012,441200000000001,望牛墩南收费站,广东,东莞
44Guangdong,000000000000013,441200000000001,道滘北收费站,广东,东莞
44Guangdong,000000000000014,441200000000001,道滘南收费站,广东,东莞
44Guangdong,000000000000015,441200000000001,东莞北收费站,广东,东莞
44Guangdong,000000000000016,441200000000001,东莞南收费站,广东,东莞
44Guangdong,000000000000017,441200000000001,厚街北收费站,广东,东莞
44Guangdong,000000000000018,441200000000001,厚街南收费站,广东,东莞
44Guangdong,000000000000019,441200000000001,太平北收费站,广东,东莞
44Guangdong,000000000000020,441200000000001,太平南收费站,广东,东莞
44Guangdong,000000000000021,441200000000001,太平主线收费站,广东,东莞
44Guangdong,000000000000023,441200000000001,长安北收费站,广东,东莞
44Guangdong,000000000000024,441200000000001,长安南收费站,广东,东莞
44Guangdong,000000000000025,441200000000001,新桥北收费站,广东,深圳
44Guangdong,000000000000026,441200000000001,新桥南收费站,广东,深圳
44Guangdong,000000000000027,441200000000001,福永北收费站,广东,深圳
44Guangdong,000000000000028,441200000000001,福永南收费站,广东,深圳
44Guangdong,000000000000029,441200000000001,鹤洲北收费站,广东,深圳
44Guangdong,000000000000030,441200000000001,鹤洲南收费站,广东,深圳
44Guangdong,000000000000032,441200000000001,机荷收费站,广东,深圳
44Guangdong,000000000000033,441200000000001,宝安北收费站,广东,深圳
44Guangdong,000000000000034,441200000000001,宝安南收费站,广东,深圳
44Guangdong,000000000000035,441200000000001,南头北收费站,广东,深圳
44Guangdong,000000000000036,441200000000001,南头南收费站,广东,深圳
